dataset,num_customers,model,avg_score,avg_distance,avg_runtime,avg_feasibility_rate,avg_fill_rate,avg_unpacked_boxes,avg_route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_fill_std,avg_tiny_route_count,avg_merged_route_count,avg_overflow_route_count,avg_route_balance_penalty,avg_fill_balance_penalty,avg_boxes_per_route,avg_customers_per_route,std_dev_score,std_dev_runtime,best_score,worst_score,best_runtime,worst_runtime
XML500_1111_01_merged_with_boxes_norm,500,proposed_no_final_refinement,211700.9582064036,210807.58559537755,219.0026632099936,1.0,0.09279250278673458,0.0,18.9,0.09279250278673458,0.023230197324057636,0.13604819118498293,0.016780849012888562,0.9,0.1,0.1,90.08070175438606,0.07802499510288377,66.6312865497076,26.461988304093563,4869.453412591505,25.03318644125636,205085.43079100887,219625.39674679076,186.7378921000054,262.2671434000076
XML500_1111_01_merged_with_boxes_norm,500,proposed_no_relocation,212305.50191732193,211353.472353319,146.43001818999764,1.0,0.09181843784035448,0.0,19.1,0.09181843784035448,0.009974866589475696,0.12029054142349653,0.019663172440446193,1.0,0.0,0.0,99.4536842105264,0.09300891360126054,65.93184210526314,26.184210526315788,3923.3108265652004,9.771309502894235,205254.31976339835,218146.81349149442,130.55595219999668,162.446131899982
XML500_1111_01_merged_with_boxes_norm,500,proposed_no_route_balance_mutation,210602.2493839339,209671.59304025452,212.84466455999646,1.0,0.0922798370254819,0.0,19.0,0.0922798370254819,0.018979640698978475,0.11766669815486261,0.01729585225335837,1.0,0.0,0.0,95.94736842105274,0.08147014225996646,66.26315789473684,26.31578947368421,6877.8520648722115,30.64394332123959,199832.966735946,221940.92834970722,169.9337355000025,270.54346020001685
XML500_1111_01_merged_with_boxes_norm,500,proposed_no_tiny_repair,210917.95960649848,209971.40980312965,219.19652477999915,1.0,0.0922798370254819,0.0,19.0,0.0922798370254819,0.015939540677175387,0.13604819118498293,0.017812087739093662,1.0,0.0,0.0,99.05263157894747,0.0859185775106991,66.26315789473684,26.31578947368421,4160.899442647568,32.36741376844837,205085.43079100887,218299.22070443933,181.8813564000011,283.2204616999952
XML500_1142_01_merged_with_boxes_norm,500,proposed_full,205974.3825168503,205662.65989028395,134.8397472899989,1.0,0.10377940530122767,0.0,18.0,0.10377940530122767,0.07784237835919813,0.13936013640453315,0.010239540733049817,0.0,0.0,0.0,16.48888888888887,0.03897196450814292,69.22222222222223,27.77777777777778,3936.6818482605822,14.43238150454507,198666.3398606221,211314.44919401043,114.37293620000128,155.05579600000056
XML500_1142_01_merged_with_boxes_norm,500,proposed_no_adaptive,202504.86299181267,202123.35890099974,92.25580183999845,1.0,0.10323319790490541,0.0,18.1,0.10323319790490541,0.014490815986718053,0.13751336588829408,0.012020411831079388,0.1,0.0,0.0,26.049122807017522,0.05161533171812033,68.85789473684211,27.63157894736842,3165.7273346708453,2.70959896508405,196579.35074281946,205896.54729173842,88.41728490000241,95.64927530000568
XML500_1142_01_merged_with_boxes_norm,500,proposed_no_final_refinement,205974.3825168503,205662.65989028395,133.5398823500058,1.0,0.10377940530122767,0.0,18.0,0.10377940530122767,0.07784237835919813,0.13936013640453315,0.010239540733049817,0.0,0.0,0.0,16.48888888888887,0.03897196450814292,69.22222222222223,27.77777777777778,3936.6818482605822,12.16140641526317,198666.3398606221,211314.44919401043,110.75027720001526,151.7563036000065
XML500_1142_01_merged_with_boxes_norm,500,proposed_no_relocation,205057.7785925162,204747.44380012812,128.51403900001023,1.0,0.10377940530122767,0.0,18.0,0.10377940530122767,0.07288930733744356,0.13398087222868724,0.01089064360756659,0.0,0.0,0.0,16.17777777777776,0.04036342546236822,69.22222222222223,27.77777777777778,3993.9035322956893,12.776913519727382,199122.7697476022,209267.53665975947,114.93141869999818,157.1075761000102
XML500_1142_01_merged_with_boxes_norm,500,proposed_no_route_balance_mutation,201885.569208179,201504.969614553,141.9946291400003,1.0,0.10377940530122767,0.0,18.0,0.10377940530122767,0.07520227926419355,0.1310281497066599,0.011133578743418355,0.0,0.0,0.3,18.711111111111098,0.039961962270609434,69.22222222222223,27.77777777777778,4655.7951430069725,19.245604820682008,192309.85223113105,209091.3056421134,117.9862491999811,173.449710099987
XML500_1142_01_merged_with_boxes_norm,500,proposed_no_tiny_repair,205974.3825168503,205662.65989028395,136.62578479999792,1.0,0.10377940530122767,0.0,18.0,0.10377940530122767,0.07784237835919813,0.13936013640453315,0.010239540733049817,0.0,0.0,0.0,16.48888888888887,0.03897196450814292,69.22222222222223,27.77777777777778,3936.6818482605822,12.538606650505022,198666.3398606221,211314.44919401043,112.85870429998613,154.36297009998816
XML750_1111_01_merged_with_boxes_norm,750,proposed_full,344309.16319038044,343736.30242452567,229.4175174599979,1.0,0.09835266108722225,0.0,27.3,0.09835266108722225,0.016946757211957868,0.14414377377097054,0.013543739146754524,0.3,0.6,0.6,51.64179894179898,0.06473289090235397,68.6271164021164,27.480158730158728,3167.24171641425,24.534216210823477,339044.58159154997,350058.8879781684,191.62266880000243,264.09456299999147
XML750_1111_01_merged_with_boxes_norm,750,proposed_no_adaptive,343835.849709245,343030.6890931524,138.08821186000424,1.0,0.09657734229503412,0.0,27.8,0.09657734229503412,0.006501592470799228,0.12794141768610426,0.0171308078884854,0.8,0.0,0.0,97.28783068783078,0.09442733110625738,67.3883597883598,26.98412698412698,4540.831838660096,7.032819374035942,336846.32729558356,351615.52604499605,131.39853599999333,154.83249010000145
